id,kerajinan,warna,kesulitan,kategori,jenis_benang,ukuran_benang,link,gambar
1,Alpukat,"[{""id"": 5, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1nXQyFeK7JHYWAMLQqeQtl_jVG66IETKi/view?usp=drive_link,alpukat.png
2,Apel,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1s-JJs74DV3eVmmDE64xrVZGe3e1Qa3tq/view?usp=drive_link,apel.png
3,Apel Hijau,"[{""id"": 5, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1mBFisKHHaSCzJKjwyRz5DHoUHJ9ShdvO/view?usp=drive_link,apel-hijau.png
4,Awan Hujan,"[{""id"": 3, ""nama"": ""abu-abu""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1_a6QJJbZX29xIR3nMLnoCbdE64J6MR0D/view?usp=drive_link,awan-hujan.png
5,Babi,"[{""id"": 9, ""nama"": ""pink""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1kU6Ns6rrZdmL4d6pLMqTVOsLy-DP4hpk/view?usp=drive_link,babi.png
6,Baju Chickadee Crop Top,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}]","[ {""id"": 34, ""nama"": ""bamboo""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/18h7zo2iPbxBlWUmox6xU56VgT8ShvJI2/view?usp=drive_link,chickadee-crop-top.png
7,Baju Modern Camo,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}, {""id"": 24, ""nama"": ""jaket""}]","[{""id"": 29, ""nama"": ""katun""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1xNmqjWN1AtHCLjL13kvuWWQGvke5FDmq/view?usp=sharing,modern-camo.png
8,Balon,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1jReeH0siePMzjRRWCslaPtVM7RKIpOqd/view?usp=drive_link,balon.png
9,Balon Udara,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}, {""id"": 16, ""nama"": ""sulit""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1Ki1i6vltMUvC-q06RESRb_7Tvgjt2DfA/view?usp=drive_link,balon-udara.png
10,Bantal Bunga,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 44, ""nama"": ""bantal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}, {""id"": 33, ""nama"": ""nilon""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1gR8RHhWe1vZ80NVA3WH4gTwmw-2fTzd8/view?usp=sharing,bantal-bunga.png
11,Bantal Kerlo,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 44, ""nama"": ""bantal""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1L65tUcEaA5eYmuMTOdJwj2mP8xaO3mhW/view?usp=sharing,bantal-kerlo.png
12,Bantal Motif Bunga,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}, {""id"": 17, ""nama"": ""sangat sulit""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 44, ""nama"": ""bantal""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 32, ""nama"": ""rayon""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/13bGhqTicu590b2HmQyp0146NeLLzgZub/view?usp=drive_link,bantal-motif-bunga.png
13,Bawang,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1ycKAXcwBa0mDK2je7vPvuxxPnFrrxxQM/view?usp=drive_link,bawang.png
14,Beanie,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 20, ""nama"": ""topi""}, {""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 29, ""nama"": ""katun""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1LK4cGsc7m7ZxCZ8zQfo1Kp3EK9Tut0Yg/view?usp=drive_link,beanie.png
15,Bear Mini Pouch,"[{""id"": 9, ""nama"": ""pink""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 22, ""nama"": ""aksesoris""}, {""id"" :18, ""nama"": ""amigurumi""}]","[{""id"": 29, ""nama"": ""katun""}]","[{""id"": 36, ""nama"": ""fine""}]",https://youtu.be/hY1RcOXwXrk?si=SoqtsOhlQ41KoaE-,bear-mini-pouch.png
16,Bebek,"[{""id"" : 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/19MMq83OEg1KbKlmlwgeTkfrZe011dkCG/view?usp=drive_link,bebek.png
17,Bit,"[{""id"": 7, ""nama"": ""hijau""}, {""id"": 10, ""nama"": ""ungu""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/11lGc-1qhOxwhdZAQO5K-GmLacZoFf0RU/view?usp=drive_link,bit.png
18,Blueberry,"[{""id"": 8, ""nama"": ""biru""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1NggzCVIZVemNTEngEsiiAShk3nv5iJgQ/view?usp=drive_link,blueberry.png
19,Bomb Pop,"[{""id"" : 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1xOYEvS5-wdC4T5M5hfn-xD7V02txN2cn/view?usp=drive_link,bomb-pop.png
20,Boneka Beruang,"[{""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1TQeAFQuc7_on6dZGAuubxecSoarkF_il/view?usp=drive_link,boneka-beruang.png
21,Botol Bayi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1AD9geEkNLi7DfBYY3CzD-oxXmLqV0jY1/view?usp=drive_link,botol-bayi.png
22,Botol Mustard,"[{""id"": 6, ""nama"": ""kuning""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1GQVO4f4VMFQmBHnFH4PIVagGWq_k3lXv/view?usp=drive_link,botol-mustard.png
23,Boutonniere,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 30, ""nama"": ""akrilik""}, {""id"": 29, ""nama"": ""katun""}]","[{""id"": 36, ""nama"": ""fine""}, {""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1Uc8Cry5BC29gWhUmp5ODvIaGGgFbjf7D/view?usp=drive_link,boutonniere.png
24,Brentwood Men's Pullover,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}, {""id"": 16, ""nama"": ""sulit""}]","[{""id"": 21, ""nama"": ""pakaian""}, {""id"": 23, ""nama"": ""baju""}, {""id"": 24, ""nama"": ""jaket""}]","[{""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://lionbrand.com/products/crochet-kit-brentwood-men-s-pullover,brentwood-pullover.png
25,Brontosaurus,"[{""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1HF6YNecbI-TG7rL0jT_juW0m_fBrzbUI/view?usp=sharing,brontosaurus.png
26,Bucket Bag,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}, {""id"": 16, ""nama"": ""sulit""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 29, ""nama"": ""katun""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1PmQKksx0U0qfs-7D-PRzbEo3GVoTQUls/view?usp=sharing,bucket-bag.png
27,Bucket Hat - The Pink Psychic,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}]","[{""id"": 16, ""nama"": ""sulit""}]","[{""id"": 20, ""nama"": ""topi""}, {""id"": 21, ""nama"": ""pakaian""}, {""id"": 22, ""nama"": ""aksesoris""}]","[{""id"": 29, ""nama"": ""katun""}]","[{""id"": 35, ""nama"": ""medium""}]",https://trakteer.id/artbhitec/showcase,bucket-hat-the-pink-psychic.png
28,Buket Hari Ibu,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}]","[ {""id"": 34, ""nama"": ""bamboo""}]","[{""id"": 37, ""nama"": ""light""}]",https://drive.google.com/file/d/1RTTgu9P76lVf6V9NVEIFHS7Ke1VOOHnM/view?usp=drive_link,buket-hari-ibu.png
29,Buku,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1OibefrL3y6FD7lJ5-Mk809dTadbrns8w/view?usp=sharing,buku.png
30,Bulan,"[{""id"": 3, ""nama"": ""abu-abu""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Y-9oK7bsD3C9b7Yq0JHCzMrh-MInRTog/view?usp=sharing,bulan.png
31,Burger,"[{""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1OibefrL3y6FD7lJ5-Mk809dTadbrns8w/view?usp=sharing,burger.png
32,Burung,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1KX8y1Im_YtlTgZOK8998m8hJdFwf8Vet/view?usp=sharing,burung.png
33,Cabai Merah,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1DLSUyqjjshC20sPP-oQDTk5A_l32IkSB/view?usp=sharing,cabai-merah.png
34,Cabai Merah 2,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/14DidQdiunZv9En6kVaHSrGXjJLENqrsq/view?usp=drive_link,cabai-merah-2.png
35,Cangkir Kopi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1TYGh_AFqmJpVVyeBsYgGUdJ4sL2gVfa-/view?usp=sharing,cangkir-kopi.png
36,Cangkir Soda,"[{""id"": 13, ""nama"": ""krem""}, {""id"": 5, ""nama"": ""jingga""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1lOu57hbriRfyvCphLYQPelOlkj6VLvaH/view?usp=sharing,cangkir-soda.png
37,Ceri,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 7, ""nama"": ""hijau""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1VU2sGgJkgkmghUar7hmxc18OecWQbObW/view?usp=sharing,ceri.png
38,Chocolate Chip,"[{""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1pCJtI36o1maVrc67rEfeBgrvEbO13e9d/view?usp=sharing,chocolate-chip.png
